Status Id;Control Sense Id;Id status main;Id status type;Id status detail;Id equipment;Equipo;Id employee;Inicio de estado;Duración HR numérico;Fin de estado;Date cube;Duración Hr.;Hour;Id type status;Id detail status;Main status;Type status;Detail status
391839;391839;5;17;2409;85;Acarreo en Mina;128;2025-01-18 04:28:10.343085;0.68;2025-01-18 05:08:54.344;2025-01-17;0.678889143055556;4;17;2409;OUTOFPLAN;Programado;Fuera de plan
391853;391853;5;17;2409;89;Acarreo en Mina;137;2025-01-18 06:03:35.747045;2.16;2025-01-18 08:12:56.114313;2025-01-17;2.15565757444444;6;17;2409;OUTOFPLAN;Programado;Fuera de plan
391970;391970;5;17;2409;88;Acarreo en Mina;142;2025-01-18 12:00:11.391106;2.14;2025-01-18 14:08:18.228;2025-01-18;2.13523247055556;12;17;2409;OUTOFPLAN;Programado;Fuera de plan
392059;392059;5;17;2409;86;Acarreo en Mina;142;2025-01-18 17:01:47.647645;0.61;2025-01-18 17:38:32.271;2025-01-18;0.612395376388889;17;17;2409;OUTOFPLAN;Programado;Fuera de plan
392131;392131;5;17;2409;88;Acarreo en Mina;131;2025-01-18 19:56:15.928756;4.42;2025-01-19 00:21:33.844;2025-01-18;4.42164312333333;19;17;2409;OUTOFPLAN;Programado;Fuera de plan
392167;392167;5;17;2409;87;Acarreo en Mina;140;2025-01-18 23:01:02.630072;0.36;2025-01-18 23:22:37.102532;2025-01-18;0.359575683333333;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392172;392172;5;17;2409;87;Acarreo en Mina;140;2025-01-18 23:26:51.0428;0.93;2025-01-19 00:22:24.969646;2025-01-18;0.926090790555556;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392173;392173;5;17;2409;89;Acarreo en Mina;137;2025-01-18 23:27:05.264589;0.92;2025-01-19 00:22:30.716823;2025-01-18;0.923736731666667;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392178;392178;5;17;2409;85;Acarreo en Mina;138;2025-01-18 23:32:45.309664;1.02;2025-01-19 00:33:50.059887;2025-01-18;1.01798617305556;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392179;392179;5;17;2409;86;Acarreo en Mina;139;2025-01-18 23:35:32.757641;1.89;2025-01-19 01:29:01.350588;2025-01-18;1.89127581861111;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392213;392213;5;17;2409;87;Acarreo en Mina;140;2025-01-19 01:29:52.781323;0.26;2025-01-19 01:45:37.826939;2025-01-18;0.262512671111111;1;17;2409;OUTOFPLAN;Programado;Fuera de plan
392216;392216;5;17;2409;88;Acarreo en Mina;128;2025-01-19 02:01:19.449963;1.87;2025-01-19 03:53:33.386313;2025-01-18;1.870537875;2;17;2409;OUTOFPLAN;Programado;Fuera de plan
392245;392245;5;17;2409;88;Acarreo en Mina;128;2025-01-19 05:50:41.732447;1.39;2025-01-19 07:14:13.924565;2025-01-18;1.39227558833333;5;17;2409;OUTOFPLAN;Programado;Fuera de plan
392519;392519;5;17;2409;85;Acarreo en Mina;128;2025-01-19 23:05:36.010276;5.21;2025-01-20 04:17:55.162662;2025-01-19;5.20532010722222;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392528;392528;5;17;2409;87;Acarreo en Mina;140;2025-01-19 23:54:36.683204;2.08;2025-01-20 01:59:39.133458;2025-01-19;2.08401395944444;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
392532;392532;5;17;2409;88;Acarreo en Mina;138;2025-01-20 00:12:48.761887;1.78;2025-01-20 01:59:42.746902;2025-01-19;1.78166250416667;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
392536;392536;5;17;2409;89;Acarreo en Mina;137;2025-01-20 00:14:49.064874;1.75;2025-01-20 01:59:46.136556;2025-01-19;1.74918657833333;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
392538;392538;5;17;2409;86;Acarreo en Mina;139;2025-01-20 00:20:57.741479;1.64;2025-01-20 01:59:34.037907;2025-01-19;1.64341567444444;0;17;2409;OUTOFPLAN;Programado;Fuera de plan
392842;392842;5;17;478;91;Tractor de Orugas;64;2025-01-20 18:34:42.562252;39.29;2025-01-22 09:52:22.940411;2025-01-20;39.2945494886111;18;17;2409;OUTOFPLAN;Programado;Fuera de plan
393298;393298;5;17;2409;89;Acarreo en Mina;137;2025-01-21 23:04:36.045876;1.02;2025-01-22 00:06:02.472468;2025-01-21;1.02400738666667;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
393300;393300;5;17;2409;88;Acarreo en Mina;140;2025-01-21 23:06:07.936592;1.76;2025-01-22 00:51:40.488789;2025-01-21;1.75904227694444;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
393302;393302;5;17;2409;86;Acarreo en Mina;139;2025-01-21 23:21:56.122403;1.48;2025-01-22 00:50:50.826;2025-01-21;1.48186211027778;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
393303;393303;5;17;2409;85;Acarreo en Mina;138;2025-01-21 23:21:59.943325;1.42;2025-01-22 00:47:15.714;2025-01-21;1.42104740972222;23;17;2409;OUTOFPLAN;Programado;Fuera de plan
393351;393351;5;17;2409;87;Acarreo en Mina;137;2025-01-22 05:52:37.193934;4.68;2025-01-22 10:33:09.065;2025-01-21;4.67551974055556;5;17;2409;OUTOFPLAN;Programado;Fuera de plan
393833;393832;5;17;1501;59;Carguio en Mina;127;2025-01-23 12:00:41;13.37;2025-01-24 01:22:46.313957;2025-01-23;13.3681427658333;12;17;2409;OUTOFPLAN;Programado;Fuera de plan
394094;394094;5;17;2409;87;Acarreo en Mina;154;2025-01-24 14:08:04.91015;2.77;2025-01-24 16:54:26.985685;2025-01-24;2.77279875972222;14;17;2409;OUTOFPLAN;Programado;Fuera de plan
394645;394645;5;17;1501;59;Carguio en Mina;127;2025-01-26 06:59:11.245288;0.41;2025-01-26 07:23:39.837804;2025-01-25;0.407942365555556;6;17;2409;OUTOFPLAN;Programado;Fuera de plan
